id	PT	PU	AP	PC	NG	NB	ND	NS	MO	PSN	CH	DABM	DSBM	DSIG	DPXV	DCTC	BRO	COORD_E	COORD_N
1	920045	9485	97	Alto	1	3	3	1	MO	Sim	Sim	367	876	6763	1642	7022	Centro	742452	6946220
2	699997	9589	73	Médio	2	3	2	2	N	Sim	Sim	807	1266	6916	2033	7175	Centro	742745	6945880
3	750000	6250	120	Médio	2	4	2	2	N	Nao	Nao	803	1324	7211	1122	7470	Centro	742245	6945640
4	1149970	9426	122	Alto	1	3	3	1	SM	Nao	Nao	136	1064	6952	1612	7211	Centro	741795	6946170
5	700040	6364	110	Médio	1	2	3	1	MO	Nao	Nao	116	936	6824	1532	7083	Centro	741679	6946140
6	630000	7500	84	Baixo	1	2	2	0	N	Nao	Nao	143	1668	7543	2376	7802	Centro	741383	6946020
7	839990	8842	95	Médio	1	2	3	1	MO	Sim	Sim	319	2615	8493	2480	8752	Centro	741004	6945710
8	530010	9815	54	Alto	1	1	3	0	MO	Nao	Nao	892	1971	7846	1371	8105	Centro	741606	6945300
9	1075020	7790	138	Médio	2	4	3	1	MO	Nao	Nao	585	1291	7166	1517	7425	Centro	742133	6945820
10	529980	8833	60	Médio	1	2	2	1	MO	Nao	Nao	660	1164	6982	1372	7241	Centro	742338	6945830
11	1255100	13074	96	Alto	2	3	4	1	N	Sim	Nao	282	1269	7156	2055	7415	Centro	742205	6946180
12	849960	7083	120	Médio	2	3	3	2	MO	Sim	Nao	475	1349	7237	1119	7496	Centro	741652	6945750
13	990000	8250	120	Alto	1	3	3	1	MO	Sim	Sim	338	1427	7302	1617	7561	Centro	741479	6945840
14	2399960	14371	167	Alto	3	5	4	3	MO	Sim	Sim	528	834	6721	1620	6980	Centro	742456	6946030
15	458012	6836	67	Médio	1	1	2	1	SM	Nao	Nao	358	1042	6929	1828	7188	Centro	742278	6946130
16	889985	8165	109	Médio	2	3	3	1	N	Sim	Sim	674	1497	7450	1373	7709	Centro	742086	6945710
17	1150050	10455	110	Alto	1	4	3	1	SM	Nao	Nao	91	621	6508	2401	6767	Centro	741932	6946280
18	1849960	11635	159	Alto	2	4	3	1	SM	Sim	Sim	330	2282	8160	2989	8419	Centro	740879	6945640
19	1179960	9291	127	Médio	2	4	3	1	N	Nao	Nao	140	1099	6987	1647	7246	Centro	741826	6946180
20	639979	8101	79	Alto	1	2	3	1	N	Nao	Sim	299	2643	8521	2508	8780	Centro	741041	6945750
21	235008	4352	54	Baixo	0	1	2	0	MO	Nao	Nao	1425	2494	7642	364	4609	Centro	742066	6944890
22	530029	8689	61	Médio	1	2	2	1	SM	Nao	Nao	552	1275	7262	1439	7521	Centro	742277	6945920
23	1248000	13000	96	Alto	1	3	3	1	MO	Sim	Sim	98	2366	8244	3074	8503	Centro	740979	6945940
24	649029	9687	67	Médio	1	2	2	1	SM	Sim	Sim	1244	2076	8456	470	4740	Centro	742236	6945150
25	360006	4138	87	Baixo	1	2	2	0	SM	Nao	Nao	1207	2306	7866	844	4560	Centro	742432	6945280
26	2447020	8295	295	Alto	3	4	4	2	N	Sim	Sim	411	2387	8265	3094	8524	Centro	740966	6945570
27	1274010	12614	101	Alto	2	2	3	1	N	Sim	Sim	536	1423	7311	1132	7570	Centro	741739	6945720
28	549976	9016	61	Médio	1	1	2	0	N	Nao	Nao	420	2517	8395	2382	8654	Centro	741043	6945620
29	449972	6716	67	Médio	1	2	3	1	MO	Nao	Nao	490	905	6792	1691	7051	Centro	742373	6946030
30	1649930	10248	161	Alto	2	4	3	1	SM	Nao	Sim	310	1408	7283	1597	7542	Centro	741490	6945880
31	536983	8803	61	Médio	1	1	2	0	MO	Nao	Nao	266	2682	8560	2547	8819	Centro	741048	6945780
32	784000	7840	100	Médio	1	4	3	2	SM	Nao	Sim	625	2178	7746	1337	5236	Centro	742501	6945940
33	915048	6444	142	Baixo	2	3	3	1	N	Nao	Sim	321	2997	8870	2128	9129	Centro	740883	6945480
34	1039970	9541	109	Alto	2	2	3	1	MO	Nao	Sim	625	1595	7547	1471	7806	Centro	741925	6945700
