"id" "PT" "PU" "AP" "PC" "NG" "NB" "ND" "NS" "MO" "PSN" "CH" "DABM" "DSBM" "DSIG" "DPXV" "DCTC" "BRO" "COORD_E" "COORD_N"
"121" 121 1949043 13823 141 "Alto" 2 3 3 1 "SM" "Sim" "Sim" 224 1496 5629 3240 5888 "Agronomica" 742996 6947440
"122" 122 1600029 11511 139 "Alto" 1 2 3 1 "MO" "Nao" "Sim" 72 1125 5250 2869 5509 "Agronomica" 742557 6947232
"123" 123 415020 6917 60 "Baixo" 1 1 2 0 "SM" "Nao" "Nao" 376 2480 2694 4224 3865 "Agronomica" 743801 6947303
"124" 124 1980055 7645 259 "Médio" 2 4 4 2 "SM" "Sim" "Sim" 70 961 6025 2705 6284 "Agronomica" 742577 6947275
"125" 125 1229984 10982 112 "Alto" 2 3 3 3 "N" "Sim" "Sim" 360 2352 3103 4096 4274 "Agronomica" 743441 6947456
"126" 126 1150065 8519 135 "Alto" 1 3 3 1 "SM" "Sim" "Sim" 175 733 5797 2477 6056 "Agronomica" 742614 6947022
"127" 127 1545049 13673 113 "Alto" 3 4 3 3 "N" "Sim" "Sim" 102 3539 2361 5283 3532 "Agronomica" 744210 6947272
"128" 128 599976 5128 117 "Baixo" 1 2 2 1 "N" "Sim" "Sim" 158 722 5786 2466 6045 "Agronomica" 742598 6947028
"129" 129 2100120 7955 264 "Médio" 2 4 4 2 "SM" "Sim" "Sim" 140 574 6260 2318 6519 "Agronomica" 742549 6946879
"130" 130 539978 7297 74 "Alto" 1 2 2 1 "SM" "Sim" "Sim" 378 2327 2795 4071 3966 "Agronomica" 743703 6947346
"131" 131 3600090 16290 221 "Alto" 3 5 3 3 "SM" "Sim" "Sim" 106 288 6266 2032 6525 "Agronomica" 742452 6946593
"132" 132 1800000 10000 180 "Alto" 2 5 3 2 "SM" "Sim" "Sim" 91 1425 4945 3169 5204 "Agronomica" 742781 6947465
"133" 133 1800000 11250 160 "Alto" 3 5 3 3 "N" "Sim" "Sim" 181 558 6244 2302 6503 "Agronomica" 742581 6946826
"134" 134 1679958 12537 134 "Alto" 1 4 3 1 "SM" "Sim" "Nao" 126 1045 5177 2789 5436 "Agronomica" 742661 6947306
"135" 135 959000 6850 140 "Alto" 1 4 3 1 "N" "Sim" "Sim" 136 299 5985 2043 6244 "Agronomica" 742495 6946637
"136" 136 430010 6143 70 "Médio" 1 2 3 1 "SM" "Nao" "Nao" 1052 5138 1827 6882 2105 "Trindade" 744142 6945971
"137" 137 495040 4420 112 "Médio" 1 3 2 1 "MO" "Nao" "Nao" 1031 4792 1481 6536 1537 "Trindade" 744516 6945950
"138" 138 489971 7313 67 "Médio" 1 1 2 0 "N" "Nao" "Nao" 1974 5882 2061 5948 984 "Trindade" 744877 6945053
"139" 139 479988 7164 67 "Médio" 1 2 2 1 "SM" "Sim" "Sim" 1314 5034 2351 6778 1274 "Trindade" 744573 6945671
"140" 140 536276 10313 52 "Alto" 1 1 2 0 "N" "Nao" "Sim" 1883 5852 2146 6033 1069 "Trindade" 744992 6945178
